,Name_sesion_es,Lab,Hw,Project,Exam,Ntipo,Name_lab_es,Name_project_es,Sesion,Name_book,Book_url_values,Presentacion,Video,Demostracion,Seccion_lecturas,Tipo_lab,Tipo_hw,Tipo_exam,Tipo_project
79,Mínimos cuadrados,0,hw10,0,0,0,0,0,31,15.3. The Method of Least Squares,https://inferentialthinking.com/chapters/15/3/Method_of_Least_Squares.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15.3,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw10/hw10.ipynb,,
80,Mínimos cuadrados,0,hw10,0,0,0,0,0,31,15.4. Least Squares Regression,https://inferentialthinking.com/chapters/15/4/Least_Squares_Regression.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15.4,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw10/hw10.ipynb,,
81,Regresión,Lab09,0,0,0,1,regresión,0,32,0,0,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,0,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=lab/lab09/lab09.ipynb,,,
82,Residual,0,0,0,0,-1,0,0,33,15.5. Visual Diagnostics,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15.5,,,,
83,Residual,0,0,0,0,-1,0,0,33,15.6. Numerical Diagnostics,https://inferentialthinking.com/chapters/15/6/Numerical_Diagnostics.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,15.6,,,,
84,Inferencia de regresión,0,hw11,Project03,0,2,0,Clima,34,16. Inference for Regression,https://inferentialthinking.com/chapters/16/Inference_for_Regression.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,16,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw11/hw11.ipynb,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=project/project03/project03.ipynb
85,Inferencia de regresión,0,hw11,Project03,0,2,0,Clima,34,16.1. A Regression Model,https://inferentialthinking.com/chapters/16/1/Regression_Model.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,16.1,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw11/hw11.ipynb,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=project/project03/project03.ipynb
86,Inferencia de regresión,0,hw11,Project03,0,2,0,Clima,34,16.2. Inference for the True Slope,https://inferentialthinking.com/chapters/16/2/Inference_for_the_True_Slope.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,16.2,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw11/hw11.ipynb,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=project/project03/project03.ipynb
87,Inferencia de regresión,0,hw11,Project03,0,2,0,Clima,34,16.3. Prediction Intervals,https://inferentialthinking.com/chapters/16/3/Prediction_Intervals.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,16.3,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=hw/hw11/hw11.ipynb,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=project/project03/project03.ipynb
88,Actualización de probabilidades,0,0,Project03,0,3,0,Hola Mundo,35,0,0,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,https://inferentialthinking.com/chapters/01/what-is-data-science.html,0,,,,http://localhost:8000/hub/user-redirect/git-pull?repo=https://github.com/hernansalinas/FundCienDatosMaterial_year_semestre_dev&branch=main&subPath=project/project03/project03.ipynb
